year,name,peak
2011,Big Bang,192
2012,Big Bang,114
2012,Girls' Generation-TTS,112
2012,G-Dragon,141
2013,Girls' Generation,164
2013,Shinee,175
2013,G-Dragon,153
2013,G-Dragon,179
2014,Girls' Generation,97
2014,Exo-K,109
2014,Taeyang,95
2014,Winner,197
2014,Girls' Generation-TTS,157
2014,Epik High,173
2015,Exo,68
2015,BTS,98
2016,BTS,20
2017,BTS,97
2017,Got7,63
2017,G-Dragon,40
2017,Exo,28
2017,Girls' Generation,89
2017,Taeyang,79
2017,BTS,5
2017,Got7,76
2018,Jonghyun,38
2018,Seventeen,79
2018,Suga Agust D,60
2018,J-Hope,16
2018,Got7,67
2018,Monsta X,99
2018,BTS,38
2018,BTS,1
2018,Shinee,69
2018,Blackpink,14
2018,Seventeen,100
2018,Red Velvet,64
2018,BTS,1
2018,Got7,84
2018,NCT 127,23
2018,RM,5
2018,Exo,6
2018,Red Velvet,62
2019,Seventeen,96
2019,Taemin,90
2019,Loona,83
2019,TXT,23
2019,Pinkfong,23
2019,Blackpink,10
2019,Monsta X,93
2019,BTS,1
2019,Twice,78
2019,NCT 127,1
2019,BTS,4
2019,Baekhyun,53
2019,Twice,84
2019,SuperM,1
2019,TXT,53
2019,Got7,84
2019,Exo,21
2020,Red Velvet,27
2020,Ateez,44
2020,Monsta X,41
2020,Loona,44
2020,Monsta X,3
2020,BTS,1
2020,NCT 127,1
2020,Suho,90
2020,(G)I-dle,81
2020,Got7,27
2020,NCT Dream,91
2020,TXT,18
2020,Suga Agust D,2
2020,Monsta X,12
2020,Baekhyun,35
2020,Twice,17
2020,Stray Kids,22
2020,Hwasa,81
2020,Red Velvet - Irene & Seulgi,31
2020,BTS,3
2020,Ateez,52
2020,Wonho,51
2020,Taemin,80
2020,Stray Kids,100
2020,SuperM,1
2020,Blackpink,1
2020,NCT,2
2020,Loona,13
2020,Twice,76
2020,Monsta X,93
2020,TXT,1
2020,BTS,1
2020,Got7,79
