album,artists,duration_ms,id,name,popularity,track_number,uri,artist_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release date
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3r5m8utqRZYJnpep7xxVyq'}, 'href': 'https://api.spotify.com/v1/albums/3r5m8utqRZYJnpep7xxVyq', 'id': '3r5m8utqRZYJnpep7xxVyq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f7da7c0f322b7a1c95190d92', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f7da7c0f322b7a1c95190d92', 'width': 64}], 'name': 'LOVE SHOT– The 5th Album Repackage', 'release_date': '2018-12-13', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:3r5m8utqRZYJnpep7xxVyq'}",EXO,200306.0,0yB4jrSwN0bFtFRDR5vyMj,Love Shot,73.0,1.0,spotify:track:0yB4jrSwN0bFtFRDR5vyMj,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.6890000000000001,0.6779999999999999,5.0,-4.287,0.0,0.119,0.0702,0.0,0.0889,0.335,145.88299999999995,4.0,2018-12-13
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/7uNyF6MKaVHi5TJqIiNobm'}, 'href': 'https://api.spotify.com/v1/albums/7uNyF6MKaVHi5TJqIiNobm', 'id': '7uNyF6MKaVHi5TJqIiNobm', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732bda510d66361378f273f4ee', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022bda510d66361378f273f4ee', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512bda510d66361378f273f4ee', 'width': 64}], 'name': 'OBSESSION - The 6th Album', 'release_date': '2019-11-27', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:7uNyF6MKaVHi5TJqIiNobm'}",EXO,203520.0,7fK0csBoqbcgUuWGV0cpoD,Obsession,70.0,1.0,spotify:track:7fK0csBoqbcgUuWGV0cpoD,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.7040000000000001,0.7290000000000001,7.0,-3.851,1.0,0.0624,0.0024,0.0,0.218,0.71,129.99200000000002,4.0,2019-11-27
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5Cckx6G2aRR4aZBV6eIYdc'}, 'href': 'https://api.spotify.com/v1/albums/5Cckx6G2aRR4aZBV6eIYdc', 'id': '5Cckx6G2aRR4aZBV6eIYdc', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27315a67578922d65121b12073d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0215a67578922d65121b12073d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485115a67578922d65121b12073d', 'width': 64}], 'name': ""EX'ACT - The 3rd Album"", 'release_date': '2016-06-09', 'release_date_precision': 'day', 'total_tracks': 22, 'type': 'album', 'uri': 'spotify:album:5Cckx6G2aRR4aZBV6eIYdc'}",EXO,221341.0,7GbUWl6qLW1gdngbEV2WDJ,Monster,70.0,2.0,spotify:track:7GbUWl6qLW1gdngbEV2WDJ,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.618,0.76,6.0,-4.312,1.0,0.0596,0.0066,0.0,0.127,0.541,150.0,4.0,2016-06-09
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/53pJcIJBdlm5rhVhjSnvHn'}, 'href': 'https://api.spotify.com/v1/albums/53pJcIJBdlm5rhVhjSnvHn', 'id': '53pJcIJBdlm5rhVhjSnvHn', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b787b5b8c27a5dbd360c0f59', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b787b5b8c27a5dbd360c0f59', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b787b5b8c27a5dbd360c0f59', 'width': 64}], 'name': 'THE WAR - The 4th Album', 'release_date': '2017-07-18', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:53pJcIJBdlm5rhVhjSnvHn'}",EXO,190422.0,5EzitieoPnjyKHAq0gfRMa,Ko Ko Bop,69.0,2.0,spotify:track:5EzitieoPnjyKHAq0gfRMa,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.7490000000000001,0.85,0.0,-4.346,1.0,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,4.0,2017-07-18
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/53pJcIJBdlm5rhVhjSnvHn'}, 'href': 'https://api.spotify.com/v1/albums/53pJcIJBdlm5rhVhjSnvHn', 'id': '53pJcIJBdlm5rhVhjSnvHn', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b787b5b8c27a5dbd360c0f59', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b787b5b8c27a5dbd360c0f59', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b787b5b8c27a5dbd360c0f59', 'width': 64}], 'name': 'THE WAR - The 4th Album', 'release_date': '2017-07-18', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:53pJcIJBdlm5rhVhjSnvHn'}",EXO,176026.0,2ujA6F1cpk3m8lsPE5aKua,The Eve,68.0,1.0,spotify:track:2ujA6F1cpk3m8lsPE5aKua,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.636,0.7020000000000001,0.0,-5.352,0.0,0.0334,0.0223,0.0,0.293,0.516,135.10399999999998,4.0,2017-07-18
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/0PepQsL30ADZO7gc4Tz7Af'}, 'href': 'https://api.spotify.com/v1/albums/0PepQsL30ADZO7gc4Tz7Af', 'id': '0PepQsL30ADZO7gc4Tz7Af', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8b83bc0fb25c1526113ce86', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f8b83bc0fb25c1526113ce86', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f8b83bc0fb25c1526113ce86', 'width': 64}], 'name': 'EXODUS - The 2nd Album', 'release_date': '2015-03-30', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:0PepQsL30ADZO7gc4Tz7Af'}",EXO,211013.0,6Rx0ORYPP3GH9rTvGS5Vy8,CALL ME BABY,66.0,1.0,spotify:track:6Rx0ORYPP3GH9rTvGS5Vy8,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.6920000000000001,0.8859999999999999,1.0,-2.519,1.0,0.0519,0.284,0.0,0.341,0.879,100.03,4.0,2015-03-30
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4qduCvpyBL5hGYdBvCvcDA'}, 'href': 'https://api.spotify.com/v1/albums/4qduCvpyBL5hGYdBvCvcDA', 'id': '4qduCvpyBL5hGYdBvCvcDA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732795c34a8931367a0916de54', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022795c34a8931367a0916de54', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512795c34a8931367a0916de54', 'width': 64}], 'name': ""The 1st Album 'XOXO' (Repackage)"", 'release_date': '2013-08-05', 'release_date_precision': 'day', 'total_tracks': 28, 'type': 'album', 'uri': 'spotify:album:4qduCvpyBL5hGYdBvCvcDA'}",EXO,207053.0,4pi0Elz7B7cLfw37J3bYm9,Growl,65.0,1.0,spotify:track:4pi0Elz7B7cLfw37J3bYm9,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.6809999999999999,0.8140000000000001,11.0,-2.83,0.0,0.0603,0.145,0.0,0.556,0.8759999999999999,89.99,4.0,2013-08-05
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/0aMI0Kctp6xwSnRFakNF3D'}, 'href': 'https://api.spotify.com/v1/albums/0aMI0Kctp6xwSnRFakNF3D', 'id': '0aMI0Kctp6xwSnRFakNF3D', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732e981530e5e8e1d5e95ae507', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022e981530e5e8e1d5e95ae507', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512e981530e5e8e1d5e95ae507', 'width': 64}], 'name': 'DON’T MESS UP MY TEMPO – The 5th Album', 'release_date': '2018-11-02', 'release_date_precision': 'day', 'total_tracks': 11, 'type': 'album', 'uri': 'spotify:album:0aMI0Kctp6xwSnRFakNF3D'}",EXO,224482.0,4EjUFjzi4ErWjklOA3Aslu,Tempo,64.0,1.0,spotify:track:4EjUFjzi4ErWjklOA3Aslu,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.6859999999999999,0.8420000000000001,0.0,-4.423,1.0,0.1,0.237,0.0,0.0683,0.519,115.944,4.0,2018-11-02
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4e75ohAqqgV3zgLn8qMxki'}, 'href': 'https://api.spotify.com/v1/albums/4e75ohAqqgV3zgLn8qMxki', 'id': '4e75ohAqqgV3zgLn8qMxki', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273735f6b24c0067007c7e5c0d4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02735f6b24c0067007c7e5c0d4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851735f6b24c0067007c7e5c0d4', 'width': 64}], 'name': 'LOTTO - The 3rd Album Repackage', 'release_date': '2016-08-18', 'release_date_precision': 'day', 'total_tracks': 26, 'type': 'album', 'uri': 'spotify:album:4e75ohAqqgV3zgLn8qMxki'}",EXO,189774.0,6ukWoX4AHV76JdYVdKRPk8,Lotto,63.0,1.0,spotify:track:6ukWoX4AHV76JdYVdKRPk8,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.7979999999999999,0.867,11.0,-3.207,0.0,0.0386,0.0618,0.0,0.193,0.7020000000000001,99.996,4.0,2016-08-18
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O'}, 'href': 'https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O', 'id': '3cjEqqelV9zb4BYE3qDQ4O', 'name': 'EXO', 'type': 'artist', 'uri': 'spotify:artist:3cjEqqelV9zb4BYE3qDQ4O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5yUlewRtRySsb77hEoTTIu'}, 'href': 'https://api.spotify.com/v1/albums/5yUlewRtRySsb77hEoTTIu', 'id': '5yUlewRtRySsb77hEoTTIu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c77e5477af193c0e7771e171', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c77e5477af193c0e7771e171', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c77e5477af193c0e7771e171', 'width': 64}], 'name': 'THE POWER OF MUSIC– The 4th Album ‘THE WAR’ Repackage', 'release_date': '2017-09-05', 'release_date_precision': 'day', 'total_tracks': 4, 'type': 'album', 'uri': 'spotify:album:5yUlewRtRySsb77hEoTTIu'}",EXO,222405.0,53YZi9zgTnF0Py0K6ejyWz,Power,61.0,1.0,spotify:track:53YZi9zgTnF0Py0K6ejyWz,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,0.657,0.943,7.0,-3.031,1.0,0.0856,0.0315,0.0,0.149,0.76,127.958,4.0,2017-09-05
